Class,IoU,Acc,Dice,Fscore,Precision,Recall
buildings,60.4,70.93,75.32,75.32,80.28,70.93
background,95.3,98.09,97.59,97.59,97.1,98.09
buildings,61.12,72.22,75.87,75.87,79.9,72.22
background,95.48,98.15,97.69,97.69,97.23,98.15
buildings,62.51,73.51,76.93,76.93,80.69,73.51
background,95.45,98.28,97.67,97.67,97.08,98.28
buildings,61.81,71.9,76.4,76.4,81.5,71.9
background,95.55,98.12,97.72,97.72,97.32,98.12
buildings,63.16,74.4,77.42,77.42,80.7,74.4
background,95.5,98.32,97.7,97.7,97.08,98.32
buildings,62.07,71.96,76.59,76.59,81.86,71.96
background,95.44,98.0,97.67,97.67,97.34,98.0
buildings,62.67,74.56,77.05,77.05,79.71,74.56
background,95.74,98.26,97.82,97.82,97.39,98.26
buildings,64.39,75.01,78.34,78.34,81.97,75.01
background,95.61,98.14,97.76,97.76,97.38,98.14
buildings,63.7,74.96,77.83,77.83,80.92,74.96
background,95.79,98.39,97.85,97.85,97.32,98.39
buildings,64.45,74.32,78.38,78.38,82.91,74.32
background,95.68,98.15,97.79,97.79,97.43,98.15
buildings,64.19,75.43,78.19,78.19,81.16,75.43
background,95.77,98.23,97.84,97.84,97.46,98.23
buildings,64.79,75.66,78.63,78.63,81.85,75.66
background,95.75,98.24,97.83,97.83,97.42,98.24
buildings,64.54,75.3,78.45,78.45,81.87,75.3
background,95.89,98.47,97.9,97.9,97.34,98.47
buildings,65.05,74.5,78.83,78.83,83.69,74.5
background,95.8,98.37,97.86,97.86,97.35,98.37
buildings,64.59,74.58,78.49,78.49,82.83,74.58
background,95.96,98.41,97.94,97.94,97.47,98.41
buildings,65.83,75.73,79.39,79.39,83.42,75.73
background,89.38,96.21,94.39,94.39,92.64,96.21
buildings,20.23,27.51,33.65,33.65,43.32,27.51
background,94.66,97.79,97.25,97.25,96.73,97.79
buildings,56.7,68.6,72.36,72.36,76.57,68.6
background,95.63,97.97,97.77,97.77,97.56,97.97
buildings,64.36,76.73,78.31,78.31,79.96,76.73
background,95.9,98.39,97.9,97.9,97.43,98.39
buildings,65.35,75.35,79.04,79.04,83.12,75.35
background,95.96,98.43,97.94,97.94,97.45,98.43
buildings,65.77,75.59,79.35,79.35,83.5,75.59
background,96.03,98.17,97.98,97.98,97.78,98.17
buildings,67.2,78.89,80.38,80.38,81.94,78.89
background,96.06,98.24,97.99,97.99,97.74,98.24
buildings,67.21,78.42,80.39,80.39,82.47,78.42
background,96.05,98.41,97.99,97.99,97.57,98.41
buildings,66.67,76.76,80.0,80.0,83.53,76.76
background,96.06,98.29,97.99,97.99,97.7,98.29
buildings,67.12,78.04,80.33,80.33,82.75,78.04
background,96.02,98.43,97.97,97.97,97.52,98.43
buildings,66.32,76.23,79.75,79.75,83.61,76.23
background,95.92,98.07,97.92,97.92,97.77,98.07
buildings,66.55,78.77,79.92,79.92,81.1,78.77
background,96.08,98.66,98.0,98.0,97.35,98.66
buildings,66.09,74.52,79.58,79.58,85.39,74.52
background,96.22,98.42,98.07,98.07,97.73,98.42
buildings,68.09,78.27,81.01,81.01,83.96,78.27
background,96.04,98.22,97.98,97.98,97.75,98.22
buildings,67.18,78.56,80.37,80.37,82.26,78.56
background,96.32,98.31,98.13,98.13,97.94,98.31
buildings,69.27,80.35,81.84,81.84,83.39,80.35
background,96.36,98.38,98.14,98.14,97.91,98.38
buildings,69.4,80.08,81.94,81.94,83.88,80.08
background,96.18,98.39,98.05,98.05,97.72,98.39
buildings,67.81,78.17,80.82,80.82,83.65,78.17
background,96.36,98.39,98.15,98.15,97.9,98.39
buildings,69.4,79.98,81.94,81.94,83.99,79.98
background,96.43,98.39,98.18,98.18,97.97,98.39
buildings,70.0,80.7,82.35,82.35,84.08,80.7
background,96.27,98.32,98.1,98.1,97.88,98.32
buildings,68.82,79.77,81.53,81.53,83.37,79.77
background,96.34,98.44,98.14,98.14,97.83,98.44
buildings,69.07,79.26,81.7,81.7,84.3,79.26
background,96.53,98.64,98.23,98.23,97.83,98.64
buildings,70.17,79.21,82.47,82.47,86.0,79.21
background,96.51,98.69,98.23,98.23,97.77,98.69
buildings,69.92,78.62,82.3,82.3,86.33,78.62
background,96.44,98.72,98.19,98.19,97.66,98.72
buildings,69.19,77.59,81.79,81.79,86.46,77.59
background,96.62,98.59,98.28,98.28,97.98,98.59
buildings,71.18,80.72,83.16,83.16,85.76,80.72
background,95.69,98.33,97.8,97.8,97.27,98.33
buildings,63.74,73.82,77.86,77.86,82.36,73.82
background,96.45,98.46,98.19,98.19,97.93,98.46
buildings,69.97,80.21,82.33,82.33,84.57,80.21
background,96.54,98.58,98.24,98.24,97.91,98.58
