Class,IoU,Acc,Dice,Fscore,Precision,Recall
buildings,36.69,43.96,53.68,53.68,68.92,43.96
background,93.51,97.48,96.65,96.65,95.82,97.48
buildings,48.17,59.7,65.02,65.02,71.39,59.7
background,93.74,98.08,96.77,96.77,95.48,98.08
buildings,47.37,55.99,64.29,64.29,75.48,55.99
background,93.61,97.68,96.7,96.7,95.74,97.68
buildings,48.13,58.73,64.98,64.98,72.72,58.73
background,93.54,98.98,96.66,96.66,94.45,98.98
buildings,40.88,44.85,58.03,58.03,82.2,44.85
background,93.92,97.88,96.86,96.86,95.87,97.88
buildings,49.92,59.97,66.6,66.6,74.87,59.97
background,94.09,98.07,96.95,96.95,95.86,98.07
buildings,50.55,59.82,67.16,67.16,76.55,59.82
background,93.96,97.73,96.89,96.89,96.06,97.73
buildings,50.96,61.94,67.51,67.51,74.18,61.94
background,93.07,97.96,96.41,96.41,94.91,97.96
buildings,42.02,50.15,59.18,59.18,72.16,50.15
background,93.81,98.44,96.81,96.81,95.22,98.44
buildings,46.29,53.13,63.28,63.28,78.23,53.13
background,94.09,97.98,96.96,96.96,95.95,97.98
buildings,51.02,60.8,67.56,67.56,76.02,60.8
background,93.74,97.21,96.77,96.77,96.33,97.21
buildings,51.3,64.87,67.81,67.81,71.03,64.87
background,93.95,98.03,96.88,96.88,95.76,98.03
buildings,49.52,58.8,66.24,66.24,75.83,58.8
background,93.11,97.19,96.43,96.43,95.68,97.19
buildings,46.08,58.36,63.09,63.09,68.65,58.36
background,94.29,97.65,97.06,97.06,96.48,97.65
buildings,54.12,66.17,70.23,70.23,74.82,66.17
background,94.13,98.02,96.98,96.98,95.95,98.02
buildings,51.18,60.78,67.71,67.71,76.41,60.78
background,94.32,97.78,97.08,97.08,96.38,97.78
buildings,53.85,65.2,70.0,70.0,75.58,65.2
background,94.41,97.76,97.12,97.12,96.49,97.76
buildings,54.68,66.28,70.7,70.7,75.76,66.28
background,94.36,98.08,97.1,97.1,96.14,98.08
buildings,52.94,62.58,69.23,69.23,77.45,62.58
background,94.36,97.3,97.1,97.1,96.91,97.3
buildings,56.11,70.51,71.89,71.89,73.31,70.51
background,94.02,97.79,96.92,96.92,96.07,97.79
buildings,51.27,62.05,67.79,67.79,74.7,62.05
background,94.59,97.98,97.22,97.22,96.47,97.98
buildings,55.35,65.97,71.26,71.26,77.47,65.97
background,94.5,98.53,97.17,97.17,95.85,98.53
buildings,52.25,59.53,68.64,68.64,81.04,59.53
background,94.51,98.07,97.18,97.18,96.3,98.07
buildings,54.32,64.26,70.4,70.4,77.83,64.26
background,94.69,98.48,97.27,97.27,96.1,98.48
